date,pageTitle,country,deviceCategory,browser,city,pagePath,sessionSource,activeUsers,newUsers,screenPageViews,engagedSessions,averageSessionDuration,bounceRate,eventCount,userEngagementDuration,sessions,conversions
2025-04-15,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/biblioteca/,(direct),2,0,127,2,1214.291657,0,130,62,2,0
2025-04-15,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,mobile,Chrome,Madrid,/biblioteca,(direct),2,0,9,2,408.5326995,0,13,152,2,0
2025-04-15,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,mobile,Chrome,Madrid,/biblioteca/,(direct),2,0,51,5,330.3292924,0,60,13,5,0
2025-04-22,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Chrome,Madrid,/,(not set),2,0,3,2,16.4594055,0,5,3,2,0
2025-04-23,Aprender con nuestros Juegos de Mesa en Digital | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/juegos-de-mesa/,(direct),2,0,3,2,3.775785,0,7,4,2,0
2025-04-23,Ludoteca En La Nube | Aprender Jugando y Sin Anuncios,Spain,desktop,Chrome,Madrid,/,(direct),2,1,3,2,0.33208875,0.5,10,1,4,0
2025-04-13,El Juego del Mundo | Ludoteca en la Nube,Spain,mobile,Safari,(not set),/geografia/juego-del-mundo/,(direct),1,0,2,1,94.654482,0,4,3,1,0
2025-04-14,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/biblioteca,(direct),1,0,1,1,6.271741,0,1,6,1,0
2025-04-14,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,desktop,Chrome,Madrid,/biblioteca/index.html,(direct),1,0,1,1,12.409597,0,3,7,1,0
2025-04-14,Biblioteca Lúdica en Construcción | Ludoteca en la Nube,Spain,mobile,Chrome,Madrid,/biblioteca,(direct),1,0,0,1,54.060816,0,1,48,1,0
